roadName,linkID,stnodeID,ednodeID,stnodeNM,ednodeNM,mapDist,stdLinkCnt,bsRoadYn,regCd,regNm,trfClsDivCd,trfClsDivNm,trfServYn
영동고속도로,2300019300,2300008500,2300008700,호법JC 동측(영동선 본선),호법JC 서측(영동선 본선),1254.0,1,N,,,10,도시고속,Y
중부고속도로,2300019500,2300009800,2300008300,호법JC 북측(중부선 본선),호법JC 남측(중부선 본선),1333.0,1,N,,,10,도시고속,Y
영동고속도로,2300020401,2300010500,2300008500,이천IC 서측(본선),호법JC 동측(영동선 본선),5645.0,1,N,,,10,도시고속,Y
영동고속도로,2300021201,2300009700,2300008700,덕평IC 동측(본선),호법JC 서측(영동선 본선),4885.0,1,N,,,10,도시고속,Y
영동고속도로,2300022400,2300009700,2300009900,덕평IC 동측(본선),덕평IC 서측(본선),456.0,1,N,,,10,도시고속,Y
영동고속도로,2300022500,2300009900,2300009700,덕평IC 서측(본선),덕평IC 동측(본선),470.0,1,N,,,10,도시고속,Y
영동고속도로,2300023401,2370005602,2300010100,여주휴게소,이천IC 동측(본선),5722.0,1,N,,,10,도시고속,Y
영동고속도로,2300023402,2370005600,2370005602,여주JC 서측(영동선 본선),여주휴게소,1691.0,1,N,,,10,도시고속,Y
영동고속도로,2300023501,2300010100,2370005601,이천IC 동측(본선),여주휴게소,6625.0,1,N,,,10,도시고속,Y
영동고속도로,2300023502,2370005601,2370005600,여주휴게소,여주JC 서측(영동선 본선),783.0,1,N,,,10,도시고속,Y
영동고속도로,2300024000,2300010500,2300010100,이천IC 서측(본선),이천IC 동측(본선),598.0,1,N,,,10,도시고속,Y
중부고속도로,2300026200,2300009800,2300012200,호법JC 북측(중부선 본선),마장JC 남측(중부선 본선),1547.0,1,N,,,10,도시고속,Y
중부고속도로,2300026300,2300012200,2300009800,마장JC 남측(중부선 본선),호법JC 북측(중부선 본선),1540.0,1,N,,,10,도시고속,Y
영동고속도로,2300027001,2280019400,2300009900,양지IC 동측(본선),덕평IC 서측(본선),6327.0,1,N,,,10,도시고속,Y
영동고속도로,2300027101,2300009900,2280019400,덕평IC 서측(본선),양지IC 동측(본선),6345.0,1,N,,,10,도시고속,Y
중부고속도로,2300029200,2300013300,2300012200,마장JC 북측(제2중부선 연결로),마장JC 남측(중부선 본선),307.0,1,N,,,10,도시고속,Y
중부고속도로,2300029300,2300012200,2300013300,마장JC 남측(중부선 본선),마장JC 북측(제2중부선 연결로),306.0,1,N,,,10,도시고속,Y
중부고속도로,2300032802,2300013301,2300013300,이천휴게소,마장JC 북측(제2중부선 연결로),1177.0,1,N,,,10,도시고속,Y
중부고속도로,2300032900,2300013300,2300015300,마장JC 북측(제2중부선 연결로),서이천IC 남측(본선),2811.0,1,N,,,10,도시고속,Y
중부고속도로,2300036000,2300016500,2300015300,서이천IC 북측(본선),서이천IC 남측(본선),702.0,1,N,,,10,도시고속,Y
중부고속도로,2300036100,2300015300,2300016500,서이천IC 남측(본선),서이천IC 북측(본선),702.0,1,N,,,10,도시고속,Y
제2중부고속도로,2300037801,2270000100,2300013300,산곡JC 북측(본선),마장JC 북측(제2중부선 연결로),30821.0,1,N,,,10,도시고속,Y
제2중부고속도로,2300038102,2300013300,2300016501,마장JC 북측(제2중부선 연결로),이천휴게소,4844.0,1,N,,,10,도시고속,Y
중부고속도로,2300041201,2300016500,2340001700,서이천IC 북측(본선),곤지암IC 남측(본선),9925.0,1,N,,,10,도시고속,Y
중부고속도로,2300041301,2340001700,2300016500,곤지암IC 남측(본선),서이천IC 북측(본선),9930.0,1,N,,,10,도시고속,Y
경부고속도로,2310007300,2310003200,2310002700,안성IC 북측(본선),안성IC 남측(본선),602.0,,N,,,10,도시고속,Y
경부고속도로,2310007400,2310002700,2310003200,안성IC 남측(본선),안성IC 북측(본선),602.0,,N,,,10,도시고속,Y
평택음성고속도로,2310026700,2310012000,2310012700,서안성IC 동측(본선),서안성IC 서측(본선),590.0,1,N,,,10,도시고속,Y
경부고속도로,2310027700,2140014600,2310014000,안성JC 남측(경부선 본선),안성JC 북측(경부선 본선),963.0,,N,,,10,도시고속,Y
경부고속도로,2310027800,2310014000,2140014600,안성JC 북측(경부선 본선),안성JC 남측(경부선 본선),963.0,,N,,,10,도시고속,Y
평택음성고속도로,2310028100,2310012500,2140015500,송탄IC 동측(본선),송탄IC 서측(본선),631.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310028200,2140015500,2310012500,송탄IC 서측(본선),송탄IC 동측(본선),631.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310028700,2310012800,2310013300,안성JC 서측(평택음성선 본선),안성JC 동측(평택음성선 본선),1166.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310028800,2310013300,2310012800,안성JC 동측(평택음성선 본선),안성JC 서측(평택음성선 본선),1168.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310029101,2310013300,2310012700,안성JC 동측(평택음성선 본선),서안성IC 서측(본선),1136.0,1,N,,,10,도시고속,Y
중부고속도로,2310050900,2310022100,2310021600,일죽IC 북측(본선),일죽IC 남측(본선),577.0,1,N,,,10,도시고속,Y
중부고속도로,2310051000,2310021600,2310022100,일죽IC 남측(본선),일죽IC 북측(본선),577.0,1,N,,,10,도시고속,Y
중부고속도로,2310052701,2300008300,2310022100,호법JC 남측(중부선 본선),일죽IC 북측(본선),15711.0,1,N,,,10,도시고속,Y
중부고속도로,2310052801,2310022100,2300008300,일죽IC 북측(본선),호법JC 남측(중부선 본선),15707.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310207500,2310012000,2310077700,서안성IC 동측(본선),남안성IC,9483.0,1,N,,,10,도시고속,Y
상암산로,1130026401,1130045800,1130047100,월드컵파크4단지,DMC 이안상암1단지,220.0,1,Y,113,마포구,20,시내,Y
상암산로,1130026301,1130047100,1130045800,DMC 이안상암1단지,월드컵파크4단지,220.0,1,Y,113,마포구,20,시내,Y
상암산로,1130026402,1130047100,1130047500,DMC 이안상암1단지,디지털미디어시티,91.0,1,Y,113,마포구,20,시내,Y
상암산로,1130024900,1130045800,1130007300,월드컵파크4단지,디지털미디어시티입구,264.0,1,Y,113,마포구,20,시내,Y
상암산로,1130072000,1130047500,1130048700,디지털미디어시티,MBC미디어센터,342.0,1,Y,113,마포구,20,시내,Y
노해로66길,1090003300,1090001700,1090006300,창일중학교,녹천지하보차도,469.0,1,Y,109,도봉구,20,시내,Y
노해로66길,1090005000,1090001700,1090007900,창일중학교,이마트,215.0,1,Y,109,도봉구,20,시내,Y
노해로66길,1090003400,1090006300,1090001700,녹천지하보차도,창일중학교,469.0,1,Y,109,도봉구,20,시내,Y
노해로66길,1090004900,1090007900,1090001700,이마트,창일중학교,217.0,1,Y,109,도봉구,20,시내,Y
도영로,1180050800,1160043600,1180018500,신도림역교차로,신도림역입구,62.0,1,Y,118,영등포구,20,시내,Y
도영로,1180063600,1180022400,1180023500,영등포 푸르지오,대우드림타운,404.0,1,Y,118,영등포구,20,시내,Y
도영로,1180051500,1180018500,1180018900,신도림역입구,대방교,89.0,1,Y,118,영등포구,20,시내,Y
도영로,1180061700,1180023500,1180022300,대우드림타운,대우드림빌앞,196.0,1,Y,118,영등포구,20,시내,Y
평택음성고속도로,2310236000,2310098900,2310099200,휴게소,남안성IC,2179.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310236200,2310099200,2310098900,남안성IC,휴게소,2182.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310236600,2310098900,2310099100,휴게소,금광1터널,2247.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310236700,2310099100,2310098900,금광1터널,휴게소,2241.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310236800,2310099100,2310099300,금광1터널,금광1터널,810.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310237000,2790031700,2310099000,안진터널,안진터널,2396.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310237200,2310099700,2310099000,금광3터널,안진터널,4515.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310237400,2310099700,2310099600,금광3터널,금광3터널,527.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310237500,2310099600,2310099700,금광3터널,금광3터널,519.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310237600,2310099300,2310099400,금광1터널,금광2터널,1763.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310237800,2310099600,2310099500,금광3터널,금광2터널,804.0,1,N,,,10,도시고속,Y
평택음성고속도로,2310237900,2310099500,2310099400,금광2터널,금광2터널,376.0,1,N,,,10,도시고속,Y
제1순환고속도로,2320001900,2320000900,2320000901,김포IC 남측(본선),김포T/G,507.0,1,N,,,10,도시고속,Y
제1순환고속도로,2320002000,2320000901,2320000900,김포T/G,김포IC 남측(본선),506.0,1,N,,,10,도시고속,Y
제1순환고속도로,2320003100,2320000900,2320001300,김포IC 남측(본선),김포IC 북측(본선),754.0,1,N,,,10,도시고속,Y
제1순환고속도로,2320004701,2180002100,2320001300,자유로IC,김포IC 북측(본선),2387.0,1,N,,,10,도시고속,Y
제1순환고속도로,2320004801,2320001300,2180002100,김포IC 북측(본선),자유로IC,2392.0,1,N,,,10,도시고속,Y
서해안고속도로,2330014600,2330006300,2330005100,발안IC 북측(본선),발안IC 남측(본선),798.0,1,N,,,10,도시고속,Y
서해안고속도로,2330025302,2330006300,2330006302,발안IC 북측(본선),화성휴게소,2203.0,1,N,,,10,도시고속,Y
서해안고속도로,2330025401,2330024200,2330006301,비봉IC 남측(본선),화성휴게소,11212.0,1,N,,,10,도시고속,Y
서해안고속도로,2330025402,2330006301,2330006300,화성휴게소,발안IC 북측(본선),1420.0,1,N,,,10,도시고속,Y
경부고속도로,2330025903,2330120400,2330120000,동탄JC 북측(경부선),동탄JC 남측(경부선),948.0,,N,,,10,도시고속,Y
경부고속도로,2330026002,2230001800,2330120000,오산IC 북측(본선),동탄JC 남측(경부선),3308.0,,N,,,10,도시고속,Y
과천~봉담간,2330052102,2330026500,2330121600,진천IC 북측(본선),봉담IC 북측,1561.0,,N,,,20,시내,Y
중부내륙고속도로,2370189400,2370086400,2370086300,금사5터널,금사5터널,1886.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2370189500,2370086400,2400098600,금사5터널,강상1터널,602.0,1,N,,,10,도시고속,Y
서울춘천고속도로,2390106300,2500072100,2390044500,강촌IC서측(본선),청평IC북측(본선),13538.0,1,N,,,10,도시고속,Y
서울춘천고속도로,2390106400,2390044500,2500072100,청평IC북측(본선),강촌IC서측(본선),13535.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400217100,2400099800,2400099700,양평IC,양평IC,630.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400217200,2400099800,2400099600,양평IC,양평요금소,445.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400217300,2400099600,2400099800,양평요금소,양평IC,444.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400217500,2400099500,2400099600,양평IC,양평요금소,273.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400218000,2400098900,2400099000,강상2터널,교량,4929.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400218100,2400099000,2400098900,교량,강상2터널,4931.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400218200,2400099700,2400099100,양평IC,교량,1242.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400218300,2400099100,2400099700,교량,양평IC,1246.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400218500,2400099000,2400099100,교량,교량,822.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400218600,2400098600,2400098700,강상1터널,강상1터널,1378.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400218700,2400098700,2400098600,강상1터널,강상1터널,1380.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400218800,2400098700,2400098800,강상1터널,강상2터널,102.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400218900,2400098800,2400098700,강상2터널,강상1터널,102.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400219100,2400098900,2400098800,강상2터널,강상2터널,1735.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2400219200,2400099700,2400099800,양평IC,양평IC,839.0,1,N,,,10,도시고속,Y
중부고속도로,2810030901,2310021600,2810011001,일죽IC 남측(본선),음성휴게소,7825.0,1,N,,,10,도시고속,Y
중부고속도로,2810031001,2810011002,2310021600,음성휴게소,일죽IC 남측(본선),7832.0,1,N,,,10,도시고속,Y
중부내륙고속도로,2810042501,2810019300,2370005400,감곡IC,여주JC 남측(중부내륙선 본선),13411.0,1,N,,,10,도시고속,Y
경부고속도로,2850054405,2310002700,2850216200,안성IC 남측(본선),북천안IC,11028.0,,N,,,10,도시고속,Y
경부고속도로,2850054501,2850022701,2310002700,입장휴게소,안성IC 남측(본선),5974.0,,N,,,10,도시고속,Y
경부고속도로,2850054503,2850216200,2850022701,북천안IC,입장휴게소,4917.0,,N,,,10,도시고속,Y
서해안고속도로,3000039201,3000017701,2140007500,행담도휴게소,서평택IC 남측(본선),9333.0,1,N,,,10,도시고속,Y
서해안고속도로,3000039202,3000017300,3000017701,송악IC,행담도휴게소,2706.0,1,N,,,10,도시고속,Y
서해안고속도로,3000039301,2140007500,3000017702,서평택IC 남측(본선),행담도휴게소,9374.0,1,N,,,10,도시고속,Y
동부간선도로_월릉IC_진출입램프,3201500200,1100011200,1070032100,월릉IC(북부간선도로),북부간선도로-동부간선도로램프(,693.0,3,N,,,20,시내,Y
동부간선도로_월릉IC_진출입램프,3201500400,1060023600,1100012400,북부간선도로-동부간선도로램프(,월릉교동측,556.0,3,N,,,20,시내,Y
동부간선도로_월릉IC_진출입램프,3201500500,1100012400,1100014200,월릉교동측,북부간선도로-동부간선도로램프(,369.0,2,N,,,20,시내,Y
도영로,1180013501,1180018900,1180019300,대방교,도림청구아파트,143.0,1,Y,118,영등포구,20,시내,Y
도영로,1180060200,1180022300,1180021200,대우드림빌앞,도림고가밑,247.0,1,Y,118,영등포구,20,시내,Y
도영로,1180013402,1180021200,1180019300,도림고가밑,도림청구아파트,310.0,1,Y,118,영등포구,20,시내,Y
도영로,1180013502,1180019300,1180021200,도림청구아파트,도림고가밑,313.0,1,Y,118,영등포구,20,시내,Y
도영로,1180013401,1180019300,1180018900,도림청구아파트,대방교,144.0,1,Y,118,영등포구,20,시내,Y
도영로,1180060100,1180021200,1180022300,도림고가밑,대우드림빌앞,241.0,1,Y,118,영등포구,20,시내,Y
도영로,1180051600,1180018900,1180018500,대방교,신도림역입구,89.0,1,Y,118,영등포구,20,시내,Y
도영로,1180061600,1180022300,1180023500,대우드림빌앞,대우드림타운,196.0,1,Y,118,영등포구,20,시내,Y
도영로,1180050900,1180018500,1160043600,신도림역입구,신도림역교차로,62.0,1,Y,118,영등포구,20,시내,Y
도영로,1180063500,1180023500,1180022400,대우드림타운,영등포 푸르지오,390.0,1,Y,118,영등포구,20,시내,Y
동산로,1210009204,1210016400,1210016200,국악고교앞,신진빌딩,132.0,1,Y,121,서초구,20,시내,Y
동산로,1210009301,1210002500,1210015500,aT센터,양일초등학교,292.0,1,Y,121,서초구,20,시내,Y
동산로,1210009203,1210016200,1210016000,신진빌딩,금호빌딩,223.0,1,Y,121,서초구,20,시내,Y
동산로,1210009302,1210015500,1210016000,양일초등학교,금호빌딩,328.0,1,Y,121,서초구,20,시내,Y
동산로,1210009202,1210016000,1210015500,금호빌딩,양일초등학교,332.0,1,Y,121,서초구,20,시내,Y
동산로,1210009303,1210016000,1210016200,금호빌딩,신진빌딩,226.0,1,Y,121,서초구,20,시내,Y
동부간선도로_월릉IC_진출입램프,3201500600,1100014200,1100014100,북부간선도로-동부간선도로램프(,북부간선도로-동부간선도로램프(,249.0,1,N,,,20,시내,Y
도당로13길,3201500800,1090003800,1090015400,방학동새마을금고,신한은행방학지점,258.0,1,Y,109,도봉구,20,시내,Y
도당로13길,3201500900,1090015400,1090003800,신한은행방학지점,방학동새마을금고,264.0,1,Y,109,도봉구,20,시내,Y
도당로13길,3201501100,1090003800,1090004000,방학동새마을금고,방학중학교,359.0,1,Y,109,도봉구,20,시내,Y
중랑역로,3201501200,1060013800,1060004900,동부시장,태릉시장,660.0,2,Y,106,중랑구,20,시내,Y
중랑역로,3201501300,1060004900,1060013800,태릉시장,동부시장,675.0,2,Y,106,중랑구,20,시내,Y
면목로91길,3201501500,1060013000,1060013900,상봉2동주민센터,상봉역(7호선),522.0,1,N,106,중랑구,20,시내,N
망우로36길,3201501600,1060013000,1060013800,상봉2동주민센터,동부시장,284.0,1,Y,106,중랑구,20,시내,Y
망우로36길,3201501700,1060013800,1060013000,동부시장,상봉2동주민센터,292.0,1,Y,106,중랑구,20,시내,Y
동산로,1210009201,1210015500,1210002500,양일초등학교,aT센터,292.0,1,Y,121,서초구,20,시내,Y
동산로,1210009304,1210016200,1210016400,신진빌딩,국악고교앞,132.0,1,Y,121,서초구,20,시내,Y
풍성로,3201502300,1230011000,1230056100,풍납백제문화공원,영파여중고교,824.0,3,Y,123,송파구,20,시내,Y
토성로,3201502400,1230053600,1230010900,풍납사거리,풍납토성서성벽,848.0,3,Y,123,송파구,20,시내,Y
토성로,3201502500,1230010900,1230053600,풍납토성서성벽,풍납사거리,846.0,3,Y,123,송파구,20,시내,Y
한가람로,3201502800,1230011000,1230054600,풍납백제문화공원,올림픽대교남단,831.0,2,Y,123,송파구,20,시내,Y
한가람로,3201502900,1230054600,1230011000,올림픽대교남단,풍납백제문화공원,833.0,3,Y,123,송파구,20,시내,Y
올림픽로43길,3201503100,1230052800,1230054600,풍성중교,올림픽대교남단,929.0,3,Y,123,송파구,20,시내,Y
송이로,3201503200,1230002700,1230016700,문정중교,장지동주민센터,256.0,1,Y,123,송파구,20,시내,Y
송이로,3201503300,1230016700,1230002700,장지동주민센터,문정중교,256.0,1,Y,123,송파구,20,시내,Y
수유로,1080006001,1080001800,1080012900,수유일공원,성일빌딩,119.0,1,Y,108,강북구,20,시내,Y
바우뫼로,3201503700,1210015400,1210002900,한국교육개발원,KT연구개발본부,660.0,3,N,121,서초구,20,시내,N
바우뫼로,3201503800,1210020600,1210018900,영동2교교차로,교육개발원입구,571.0,1,Y,121,서초구,20,시내,Y
바우뫼로,3201504000,1210018900,1210016500,교육개발원입구,양재초교교차로,862.0,1,Y,121,서초구,20,시내,Y
바우뫼로,3201504100,1210016500,1210018900,양재초교교차로,교육개발원입구,861.0,1,Y,121,서초구,20,시내,Y
성덕정길,3201504200,1030001300,1030008600,뚝도시장,뚝도아리정수센터,974.0,2,Y,103,성동구,20,시내,Y
바우뫼로,3201504400,1210016500,1210002900,양재초교교차로,KT연구개발본부,118.0,2,Y,121,서초구,20,시내,Y
개봉로,3201504600,1160049400,2130013300,경서농협개봉역지점,개봉교사거리,685.0,5,Y,116,구로구,20,시내,Y
개봉로,3201504700,2130013300,1160049400,개봉교사거리,경서농협개봉역지점,685.0,5,Y,116,구로구,20,시내,Y
벚꽃로,3201504900,1170001700,1170009500,독산역,금천현대아파트,521.0,2,Y,117,금천구,20,시내,Y
월계로,1080001100,1070034200,1070032700,창문여고앞,방천시장입구,209.0,1,Y,107,성북구,20,시내,Y
도봉로8길,1080001300,1080005100,1070030800,삼양입구사거리,숭곡초교,872.0,3,Y,108,강북구,20,시내,Y
도봉로8길,1080001400,1070030800,1080005100,숭곡초교,삼양입구사거리,882.0,3,Y,107,성북구,20,시내,Y
오패산로,1080001500,1080000700,1070032700,송중동주민센터,방천시장입구,574.0,1,Y,108,강북구,20,시내,Y
오패산로,1080001600,1070032700,1080000700,방천시장입구,송중동주민센터,571.0,1,Y,107,성북구,20,시내,Y
월계로,1080001700,1080001100,1070034200,북서울꿈의숲,창문여고앞,1032.0,3,Y,108,강북구,20,시내,Y
오현로,1080001900,1080004600,1080000700,삼양입구사거리,송중동주민센터,360.0,1,Y,108,강북구,20,시내,Y
오현로,1080002000,1080000700,1080004600,송중동주민센터,삼양입구사거리,354.0,1,Y,108,강북구,20,시내,Y
솔샘로,1080002100,1080005200,1080005100,(구)코리아웨딩홀,삼양입구사거리,85.0,1,Y,108,강북구,20,시내,Y
솔샘로,1080002200,1080005100,1080005200,삼양입구사거리,(구)코리아웨딩홀,85.0,1,Y,108,강북구,20,시내,Y
솔샘로,1080002300,1080001000,1080005200,삼양입구사거리,(구)코리아웨딩홀,746.0,2,Y,108,강북구,20,시내,Y
솔샘로,1080002500,1080001200,1080001000,미양초교,삼양입구사거리,806.0,3,Y,108,강북구,20,시내,Y
솔샘로,1080002600,1080001000,1080001200,삼양입구사거리,미양초교,815.0,3,Y,108,강북구,20,시내,Y
도봉로,1080002700,1080008500,1080005100,미아역,삼양입구사거리,1059.0,3,Y,108,강북구,20,시내,Y
삼양로,1080002900,1080001300,1080001000,삼양시장,삼양입구사거리,658.0,1,Y,108,강북구,20,시내,Y
오현로,1080003100,1080001600,1080000700,강북구장애인종합복지관,송중동주민센터,1617.0,10,Y,108,강북구,20,시내,Y
오현로,1080003200,1080000700,1080001600,송중동주민센터,강북구장애인종합복지관,1626.0,10,Y,108,강북구,20,시내,Y
솔샘로67길,1080003300,1080001300,1080005200,삼양시장,(구)코리아웨딩홀,1514.0,2,Y,108,강북구,20,시내,Y
솔샘로67길,1080003400,1080005200,1080001300,(구)코리아웨딩홀,삼양시장,1521.0,2,Y,108,강북구,20,시내,Y
오패산로,1080003800,1080000700,1080014400,송중동주민센터,강북경찰서,2132.0,3,Y,108,강북구,20,시내,Y
